episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
123,10.30092659209592,-0.12503036992085595,72.40376477833891,0.22020244906586842,74.17134264673933,0.2263000425521648,174.75918774699875,0.6159615663566362,47.42096540891782,0.14797804948947083
124,10.13685253719634,-0.1103909736095948,74.2872346719764,0.22727501986810547,82.3076495295865,0.2515342481356484,169.71423281974833,0.5596300280824691,47.07955716261671,0.14526213843706495
125,11.370307040883045,-0.11646177033461778,70.98857424273547,0.21686126538391567,81.21994723095808,0.24285564094466505,183.75292910624015,0.656005375581778,49.80280013189405,0.15901759115486855
126,10.462451004869903,-0.1396835381059077,71.1574473428946,0.2181889612428516,76.19938325504536,0.2266453655055423,187.11615959333017,0.6749015326107844,50.96339250752762,0.1603697977607597
127,10.007805401615322,-0.13535144922310496,71.34301905025214,0.21972817591962576,73.43079118220238,0.22041879937491643,178.7219228661223,0.6157991794263232,50.6484421928513,0.15785810402916906
128,11.161271854993732,-0.13410606208708262,69.68030195806753,0.21438202354036423,87.57487288548161,0.22977435447228825,26.932149403444388,0.03189477219956286,48.61512191923847,0.14958313394708567
129,10.085353686749233,-0.13472349430513947,69.79587962884192,0.21530872783235575,9.337409925606673,-0.01306600528314252,171.03888322789373,0.5543947418323282,51.41321214839563,0.1559942997052467
130,10.40000923277886,-0.14819803692611444,69.56177288984816,0.21344156156154948,76.21675922936906,0.22672470441871567,184.98562054056362,0.649822435869729,53.55879345740131,0.16516900736723358
131,9.98786123481691,-0.15945304826996323,69.79670549216397,0.21530586910935468,74.51505849104363,0.22109161920493747,132.7767684548476,0.42377673962352946,51.24890153330748,0.15467526614619767
132,9.652051833848537,-0.16213244941917757,68.17619627871113,0.2103225375205673,102.38277059910028,0.23655728741338486,135.87479044344263,0.40866420612257537,55.88088200748525,0.17575831555275617
133,10.564967882946247,-0.18672529259717377,66.18627671647864,0.20236326294333107,79.30956041123817,0.21954680432433674,172.75393925068792,0.5680145846908895,53.44724814254963,0.16427124178178498
134,9.67198430639676,-0.17791658208607264,66.64227579768604,0.20598294055430932,83.38275214586047,0.22821723195341326,175.96701886371983,0.6097142299626825,55.36673159796213,0.1716884179530314
135,9.649217034581671,-0.12225330398366153,66.65354027825845,0.20609978515293223,90.45834313804237,0.2369165862956307,178.50528788528388,0.6060637411716414,57.60692643284742,0.18158864509582082
136,10.477519001005913,-0.13954851389504416,66.7028793456272,0.20649706905533124,86.86991400564133,0.23213059604171254,173.06400790179643,0.5864700237389299,55.353715069046636,0.1715037198496344
137,9.718454627042204,-0.13767732962794946,68.4894400709963,0.21280228443439492,86.08104155309832,0.23383216829648293,138.68150583585364,0.4311206846138843,55.59603860952806,0.1734862485916099
138,10.645167490620645,-0.1541888652027509,62.848725411458,0.19162104070125557,90.85328446111919,0.22416825839979176,143.33648934512348,0.4363467271246125,56.43136132432339,0.17219138401137327
139,10.61123030065499,-0.16241554080398862,63.316617006343435,0.19535749895129068,90.32655750882635,0.21989509876823504,134.64528774971723,0.4306700506950186,54.98596200993886,0.16861107324053679
140,9.31112155724622,-0.21278189961043537,65.02498118777504,0.2010589783207122,93.5148101682044,0.22945402795646772,161.07311430547412,0.5065291859357974,50.43789276908484,0.1561877745617745
141,10.519071969266529,-0.12328675226405622,62.11595150617317,0.1936847567732775,98.54008358489496,0.22976080689613207,123.86657568618811,0.3684485435273774,55.419054556470606,0.1720994931448419
142,9.49384383646174,-0.2112726536509574,60.443151234752605,0.18830998694329792,100.57828031734847,0.22212233403048673,115.58157001644551,0.3420738939805172,53.2507685604132,0.1626885462236697
143,8.967485616481886,-0.22345058795423045,63.74057233649541,0.19874075639200597,97.79252933807932,0.2238178918549031,99.63938271335847,0.2783768683045775,54.952364163524805,0.16832971286397697
144,10.229108914903993,-0.1495176058974886,63.73456241272632,0.19866333960141697,102.62781553225555,0.22254598258343042,97.62313635241274,0.2702394950618172,52.64479015868604,0.15783911816451543
145,9.62566063809055,-0.1702934864731107,61.64061445578041,0.18991768943278806,102.09447304509769,0.2342809408387097,96.30846602138497,0.26759084853145404,52.58538627557343,0.1574043429015784
146,9.789946925700367,-0.20092172156190347,65.41349286773217,0.2041564218828211,96.71052827035702,0.2230964752625873,90.86222475260006,0.24811978768869283,55.73778142570805,0.17464609317583646
147,10.181344802487661,-0.18181934010991438,64.72722964602578,0.1986520944352044,101.70010963048792,0.22314452015990063,76.69327592974477,0.19852356005331462,48.15984105161922,0.1379434338053144
148,9.774051378205806,-0.17710804598748375,66.5876614301356,0.20553586211598102,102.4243543085231,0.22896392915850725,73.73438805978995,0.1828546027960379,53.17856106534642,0.16211045354009002
